,bikesInUsage,electricalBikesInUsage,mechanicalBikesInUsage,dateTime,temperature,precipitation,avg_daily_temperature,avg_bike_use,is_weekend_or_bank_holiday_False,is_weekend_or_bank_holiday_True,is_eve_of_weekend_or_bank_holiday_False,is_eve_of_weekend_or_bank_holiday_True,time_of_day_Afternoon,time_of_day_Evening,time_of_day_Morning,time_of_day_Night,rain_bool_False,rain_bool_True,y_pred
45,21,0,21,2018-08-02 04:45:39,25.189998626708984,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,23.97414285714285
46,30,0,30,2018-08-02 05:00:41,24.88999938964844,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,52.30972222222222
47,54,0,54,2018-08-02 05:15:40,24.88999938964844,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,52.30972222222222
48,52,0,52,2018-08-02 05:30:40,24.88999938964844,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,52.30972222222222
49,73,0,73,2018-08-02 05:45:40,24.88999938964844,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,52.30972222222222
50,69,0,69,2018-08-02 06:00:41,26.689998626708984,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,1,0,1,0,133.90797619047618
51,77,1,76,2018-08-02 06:15:40,26.689998626708984,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,1,0,1,0,133.90797619047618
52,127,1,126,2018-08-02 06:30:40,26.689998626708984,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,1,0,1,0,133.90797619047618
53,219,1,218,2018-08-02 06:45:41,26.689998626708984,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,1,0,1,0,133.90797619047618
54,181,0,181,2018-08-02 07:00:41,29.689998626708984,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,1,0,1,0,389.5040674603174
